EA ALGORITHM - MaxOnes
{mutation_rate=0.01, terminate_gen_value=1000, bit_string_length=32, crossover_rate=0.5, name=MaxOnes, pop_size=100, terminate_value=0.5}
1 2810677920 1.00988431592E9 0.0
2 3106004700 1.46110626896E9 0.15
3 3106004700 1.63284478032E9 0.21
4 4016748683 1.89266620777E9 0.35
5 4012682955 2.20896598614E9 0.31
6 3635985500 2.40270838933E9 0.26
7 3894320220 2.58300352559E9 0.2
8 3894320220 2.64962448041E9 0.2
9 4018694260 2.86871647441E9 0.32
10 3980754288 3.02556539706E9 0.29
11 4089849468 3.05066409852E9 0.28
12 4006944924 3.0926216843E9 0.24
13 4128965676 3.13964696298E9 0.19
14 4042334604 3.25791603524E9 0.16
15 4040956968 3.29727805321E9 0.17
16 4040956968 3.34800779737E9 0.29
17 4155240060 3.34780865241E9 0.21
18 4155303918 3.35356838788E9 0.22
19 4023359992 3.40233970714E9 0.24
20 4160783640 3.43343411282E9 0.26
21 4148030304 3.4772906985E9 0.23
22 4148157552 3.61874427259E9 0.27
23 4148157552 3.58988831239E9 0.13
24 4102477848 3.52943488546E9 0.22
25 4179335204 3.35818226526E9 0.18
26 4105555146 3.25505101465E9 0.17
27 4125609948 3.2589649836E9 0.14
28 4125290658 3.35347185175E9 0.23
29 4125290658 3.35007878948E9 0.23
30 4158366370 3.46858663456E9 0.24
31 4157980150 3.53701800401E9 0.21
32 4060975724 3.49702254356E9 0.23
33 4076919576 3.5097435818E9 0.29
34 4128796386 3.52963891691E9 0.19
35 4076919576 3.59637749438E9 0.35
36 4166218488 3.58712616911E9 0.33
37 4256626248 3.60755860741E9 0.37
38 4088131320 3.42379654468E9 0.23
39 4107459950 3.45319634141E9 0.27
40 4113718296 3.36335959238E9 0.21
41 4129110648 3.41491155791E9 0.18
42 4140938538 3.52251512447E9 0.27
43 4140938538 3.67175410495E9 0.26
44 4141140234 3.51069437829E9 0.26
45 4179193400 3.60803133398E9 0.2
46 4179193400 3.56766810276E9 0.35
47 4286778930 3.54412516048E9 0.25
48 4286778930 3.59057397129E9 0.23
49 4259881548 3.66039228853E9 0.17
50 4259881548 3.71062149178E9 0.22
51 4279252380 3.68993360991E9 0.23
52 4289135702 3.63082808167E9 0.16
53 4224628920 3.51453143025E9 0.2
54 4208377496 3.42088894978E9 0.13
55 4220887614 3.53923138417E9 0.18
56 4241766192 3.59366016788E9 0.28
57 4241766192 3.59105272031E9 0.19
58 4241116332 3.61474599063E9 0.22
59 4210433560 3.5385217712E9 0.19
60 4232081490 3.53790768026E9 0.15
61 4232081490 3.69443763496E9 0.24
62 4214075822 3.6362969689E9 0.27
63 4214075822 3.66360831496E9 0.25
64 4233138744 3.68739960596E9 0.34
65 4241977236 3.61121360641E9 0.4
66 4223015320 3.47995581446E9 0.22
67 4223015320 3.5073537514E9 0.25
68 4225112280 3.5767516108E9 0.18
69 4227209240 3.46639042446E9 0.47
70 4235759892 3.57138441064E9 0.31
71 4235759892 3.5915963855E9 0.33
72 4235759892 3.56352923538E9 0.24
73 4231574100 3.5777329517E9 0.3
74 4231574100 3.55947690227E9 0.28
75 4231574100 3.55197327068E9 0.32
76 4231574100 3.59619467414E9 0.49
77 4231574100 3.57012537275E9 0.3
78 4245047118 3.63231087239E9 0.57
Most fit in population
WINNER | 1111111101111011 1111110110001010 | X : 65403 Y : 64906
Most fit overall
WINNER | 1111111110110110 1111111111110001 | X : 65462 Y : 65521
