EA ALGORITHM - MaxOnes
{mutation_rate=0.01, terminate_gen_value=1000, bit_string_length=32, crossover_rate=0.5, name=MaxOnes, pop_size=100, terminate_value=0.5}
1 422972849631 1.5865117693877E11 0.0
2 422983647004 2.7961336791603E11 0.3
3 425174524711 3.131133752112E11 0.27
4 425174537911 3.3229112777652E11 0.2
5 425174524711 3.4791261915421E11 0.31
6 425174524711 3.676802079783E11 0.42
7 425174524711 3.7898467374187E11 0.33
8 425184327444 3.6998111685762E11 0.21
9 425184353044 3.7156051190124E11 0.24
10 425184353044 3.7150187170697E11 0.24
11 425187630144 3.800703579241E11 0.14
12 425187680144 3.7444592674056E11 0.35
13 425187680044 3.8224663731074E11 0.22
14 425188790544 3.9777777262016E11 0.28
15 425187617344 3.9756952827953E11 0.2
16 425187617344 3.8081128346306E11 0.3
17 425184312244 3.8749397542401E11 0.17
18 425184311444 3.8474668159864E11 0.18
19 425184311044 3.9579007794623E11 0.16
20 425184311044 3.8974831327005E11 0.19
21 425145322139 3.8721642321051E11 0.41
22 425159116776 4.0005702969056E11 0.26
23 425159116376 3.9249655790919E11 0.4
24 425162393176 4.0520642519023E11 0.35
25 425161664576 3.8179550176411E11 0.27
26 425159116476 4.0190734445899E11 0.27
27 425160961676 4.0240144441243E11 0.2
28 425160936076 3.8629855123496E11 0.16
29 425160936076 4.0161366064932E11 0.25
30 425081985824 3.9813103831821E11 0.18
31 425097097871 3.9263844360868E11 0.31
32 425095459471 4.0191849714506E11 0.17
33 425160998676 3.9676422419047E11 0.21
34 425173065511 3.952915816647E11 0.3
35 425173015911 3.8580904646184E11 0.23
36 425144617339 3.8907469211574E11 0.21
37 425144617339 3.9422277210748E11 0.28
38 425158451276 4.0077319195147E11 0.24
39 425144617339 3.95054615699E11 0.35
40 425005625900 3.9346293782719E11 0.32
41 425005529900 3.898220495304E11 0.32
42 425005529900 3.8140588839212E11 0.2
43 425005523500 3.9654684137384E11 0.34
44 425005523500 3.9567385769309E11 0.26
45 425005523500 3.8788674909129E11 0.37
46 425005067700 3.9960980006767E11 0.46
47 425005067700 4.0123477063161E11 0.16
48 425171278311 3.902459621089E11 0.28
49 425171277011 3.9527425535336E11 0.25
50 424927609704 3.8054946669016E11 0.18
51 424927609704 3.8394493957057E11 0.27
52 424914644231 3.7088620899491E11 0.31
53 424914631431 3.75604287014E11 0.32
54 424914634631 3.88402100855E11 0.26
55 424914647631 3.8439316237271E11 0.15
56 425005096400 3.8624071412158E11 0.22
57 425005096900 3.8131440739925E11 0.18
58 425005084000 3.8628517537518E11 0.27
59 424966523611 3.8555481864127E11 0.27
60 424914686431 3.8634778026628E11 0.28
61 424914686431 3.8942082289903E11 0.33
62 424591708356 3.899489012451E11 0.17
63 424591695056 3.7814117912715E11 0.22
64 425027766316 3.7910150189207E11 0.19
65 424795912984 3.8460514790777E11 0.11
66 424821853364 3.9367636685765E11 0.2
67 424821850164 3.8999516722124E11 0.14
68 424821850164 3.8849718382185E11 0.23
69 424988824939 3.933795469861E11 0.19
70 424821846964 3.9113813650461E11 0.26
71 424795857684 3.916689254297E11 0.41
72 424796117784 3.8918844087074E11 0.2
73 424836782051 3.8465511438176E11 0.27
74 424899602056 3.7985859090321E11 0.39
75 424899602256 3.8229395397455E11 0.33
76 425004590900 3.8322919779312E11 0.15
77 425004565400 3.808102696972E11 0.28
78 424847178836 3.8268104560725E11 0.37
79 424847179636 3.9130883311873E11 0.42
80 424847179636 3.9090952670509E11 0.41
81 424847179636 3.9911433164497E11 0.19
82 424899408756 3.9971984633124E11 0.15
83 424890355679 3.9643245239238E11 0.14
84 424890328779 3.9151727930094E11 0.32
85 424890328779 3.9830038837349E11 0.29
86 424781214891 4.0009394510667E11 0.21
87 424989102239 4.0302316774817E11 0.14
88 424807384975 4.0896015445901E11 0.2
89 424807423675 3.9196212928655E11 0.17
90 424807423775 4.0306056317968E11 0.37
91 424807423775 3.9567202028192E11 0.14
92 424812407775 3.9578742459408E11 0.29
93 424954280244 3.9456080420762E11 0.21
94 424954280244 3.9694122458513E11 0.29
95 424812306975 3.9158483679492E11 0.26
96 424954241844 3.7149127632821E11 0.37
97 424954241044 3.5201932526526E11 0.46
98 425016655259 3.8543418284028E11 0.32
99 424953810644 3.8851853419614E11 0.28
100 424812477975 3.930538883316E11 0.16
101 424381173916 3.9091313824363E11 0.23
102 424409666924 3.8414285845223E11 0.33
103 424773465896 3.8495685739678E11 0.2
104 424773465896 3.8647966723943E11 0.3
105 424773465896 3.9145185985662E11 0.25
106 424773467296 3.8424380494237E11 0.28
107 424756849799 3.4759457546357E11 0.24
108 424760112499 3.7520010080973E11 0.15
109 424760112999 3.5106386553954E11 0.29
110 424760112999 3.7554943606649E11 0.24
111 423361237951 3.6469077846931E11 0.25
112 423361237951 3.789082762825E11 0.33
113 423359838951 3.8588415769702E11 0.42
114 423359838951 3.8978730223293E11 0.28
115 424780393991 4.0031178859716E11 0.28
116 424784772191 3.9183919213768E11 0.23
117 424797740084 3.9068103379722E11 0.25
118 424797740084 3.8239695831918E11 0.24
